title,slug,outcome,avg_price,current_price,size,value_usd,cash_pnl,percent_pnl
"Rolex Monte Carlo Masters, Qualification: Ethan Quinn vs Francisco Comesana",atp-quinn-comesan-2026-04-05,Francisco Comesana,0.720152,0.0,56.401919,43.42947763,2.8115228583120033,6.921872049234058
"Rolex Monte Carlo Masters, Qualification: Alexander Shevchenko vs Roberto Bautista Agut",atp-shevche-agut-2026-04-05,Alexander Shevchenko,0.547149,0.0,91.298584,41.99734864,-7.956580297016003,-15.927836841518491
Spread: Los Angeles Dodgers (-1.5),mlb-lad-wsh-2026-04-05-spread-away-1pt5,Los Angeles Dodgers,0.53,0.0,77.338354,41.76271116,0.7733835399999991,1.8867924528301863
Tulsa Golden Hurricane vs. Auburn Tigers,cbb-tulsa-aubrn-2026-04-05,Tulsa Golden Hurricane,0.31,0.0,117.3,38.1225,1.7595,4.838709677419355
Spread: Magic (-3.5),nba-orl-nop-2026-04-05-spread-away-3pt5,Pelicans,0.44,0.0,73.35,32.64075,0.36675,1.1363636363636365
Jazz vs. Thunder: O/U 239.5,nba-uta-okc-2026-04-05-total-239pt5,Over,0.47,0.0,62.270556,30.20121966,0.9340583400000035,3.1914893617021405
Magic vs. Pelicans: O/U 236.5,nba-orl-nop-2026-04-05-total-236pt5,Under,0.49,0.0,53.230186,25.81664021,-0.2661509299999997,-1.020408163265305
Spread: Chicago Cubs (-1.5),mlb-chc-cle-2026-04-04-spread-away-1pt5,Chicago Cubs,0.4,0.0,55.033329,22.838831535,0.8254999349999986,3.749999999999994
Spread: Chicago Cubs (-1.5),mlb-chc-cle-2026-04-05-spread-away-1pt5,Chicago Cubs,0.41,0.0,50.847456,21.35593152,0.5084745600000024,2.4390243902439144
Tulsa Golden Hurricane vs. Auburn Tigers: O/U 162.5,cbb-tulsa-aubrn-2026-04-05-total-162pt5,Under,0.54,0.0,33.851303,19.464499224999997,1.1847956049999968,6.481481481481463
Spread: Celtics (-9.5),nba-tor-bos-2026-04-05-spread-home-9pt5,Raptors,0.48,0.0,33.149535,16.740515175000002,0.8287383750000019,5.2083333333333455
Grizzlies vs. Bucks: O/U 226.5,nba-mem-mil-2026-04-05-total-226pt5,Over,0.53,0.0,29.531912,15.94723248,0.29531911999999916,1.8867924528301834
Spread: Timberwolves (-1.5),nba-cha-min-2026-04-05-spread-home-1pt5,Timberwolves,0.483916,0.0,35.866305,15.601842675,-1.754436175379999,-10.108365914745528
Magic vs. Pelicans: O/U 235.5,nba-orl-nop-2026-04-05-total-235pt5,Under,0.47,0.0,31.528299,14.81830053,0.0,0.0
Suns vs. Bulls: O/U 237.5,nba-phx-chi-2026-04-05-total-237pt5,Under,0.45,0.0,29.109088,13.39018048,0.29109088000000083,2.2222222222222285
Spread: Thunder (-21.5),nba-uta-okc-2026-04-05-spread-home-21pt5,Jazz,0.43,0.0,29.982421,13.042353134999999,0.14991210500000043,1.162790697674422
Tulsa Golden Hurricane vs. Auburn Tigers: O/U 161.5,cbb-tulsa-aubrn-2026-04-05-total-161pt5,Over,0.45,0.0,27.272726,12.68181759,0.4090908899999987,3.333333333333323
Grizzlies vs. Bucks: O/U 226.5,nba-mem-mil-2026-04-05-total-226pt5,Under,0.45,0.0,27.272726,12.545453960000001,0.27272725999999975,2.22222222222222
Pacers vs. Cavaliers: O/U 238.5,nba-ind-cle-2026-04-05-total-238pt5,Under,0.45,0.0,27.272726,12.545453960000001,0.27272725999999975,2.22222222222222
